CODIGO;MUNICIPIO;TOTAL;TOTAL_H;TOTAL_M
430003;Aceguá;2,893;1,533;1,360
430005;Água Santa;2,665;1,333;1,332
430010;Agudo;11,390;5,829;5,561
430020;Ajuricaba;4,959;2,470;2,489
430030;Alecrim;4,404;2,163;2,241
430040;Alegrete;50,232;24,741;25,491
430045;Alegria;2,750;1,406;1,344
430047;Almirante Tamandaré do Sul;1,443;734;709
430050;Alpestre;4,961;2,543;2,418
430055;Alto Alegre;1,258;640;618
430057;Alto Feliz;2,173;1,105;1,068
430060;Alvorada;131,620;63,282;68,338
430063;Amaral Ferrador;4,269;2,216;2,053
430064;Ametista do Sul;4,890;2,519;2,371
430066;André da Rocha;796;438;358
430070;Anta Gorda;4,504;2,304;2,200
430080;Antônio Prado;9,026;4,584;4,442
430085;Arambaré;2,481;1,186;1,295
430087;Araricá;3,589;1,783;1,806
430090;Aratiba;4,609;2,325;2,284
430100;Arroio do Meio;14,468;7,288;7,180
430105;Arroio do Sal;6,035;2,921;3,114
430107;Arroio do Padre;1,770;943;827
430110;Arroio dos Ratos;9,279;4,521;4,758
430120;Arroio do Tigre;8,709;4,445;4,264
430130;Arroio Grande;11,977;6,008;5,969
430140;Arvorezinha;6,849;3,469;3,380
430150;Augusto Pestana;4,977;2,459;2,518
430155;Áurea;2,471;1,230;1,241
430160;Bagé;78,957;37,814;41,143
430163;Balneário Pinhal;7,664;3,751;3,913
430165;Barão;4,497;2,378;2,119
430170;Barão de Cotegipe;4,716;2,447;2,269
430175;Barão do Triunfo;4,581;2,464;2,117
430180;Barracão;3,370;1,745;1,625
430185;Barra do Guarita;2,074;1,052;1,022
430187;Barra do Quaraí;2,589;1,395;1,194
430190;Barra do Ribeiro;8,528;4,198;4,330
430192;Barra do Rio Azul;1,250;686;564
430195;Barra Funda;1,736;883;853
430200;Barros Cassal;6,787;3,410;3,377
430205;Benjamin Constant do Sul;1,379;732;647
430210;Bento Gonçalves;81,859;40,460;41,399
430215;Boa Vista das Missões;1,386;706;680
430220;Boa Vista do Buricá;4,725;2,333;2,392
430222;Boa Vista do Cadeado;1,674;854;820
430223;Boa Vista do Incra;1,610;833;777
430225;Boa Vista do Sul;2,160;1,190;970
430230;Bom Jesus;6,954;3,440;3,514
430235;Bom Princípio;9,302;4,770;4,532
430237;Bom Progresso;1,526;772;754
430240;Bom Retiro do Sul;8,364;4,190;4,174
430245;Boqueirão do Leão;4,849;2,546;2,303
430250;Bossoroca;4,285;2,174;2,111
430258;Bozano;1,496;744;752
430260;Braga;2,316;1,149;1,167
430265;Brochier;3,390;1,749;1,641
430270;Butiá;13,977;6,964;7,013
430280;Caçapava do Sul;22,805;11,001;11,804
430290;Cacequi;8,550;4,259;4,291
430300;Cachoeira do Sul;56,495;27,332;29,163
430310;Cachoeirinha;85,486;40,890;44,596
430320;Cacique Doble;3,356;1,647;1,709
430330;Caibaté;3,376;1,672;1,704
430340;Caiçara;3,152;1,644;1,508
430350;Camaquã;43,507;21,392;22,115
430355;Camargo;1,859;918;941
430360;Cambará do Sul;4,281;2,183;2,098
430367;Campestre da Serra;2,206;1,136;1,070
430370;Campina das Missões;4,383;2,171;2,212
430380;Campinas do Sul;3,902;1,887;2,015
430390;Campo Bom;43,268;21,421;21,847
430400;Campo Novo;3,374;1,647;1,727
430410;Campos Borges;2,512;1,237;1,275
430420;Candelária;20,527;10,141;10,386
430430;Cândido Godói;4,586;2,434;2,152
430435;Candiota;6,057;3,062;2,995
430440;Canela;28,117;13,541;14,576
430450;Canguçu;35,692;18,230;17,462
430460;Canoas;228,769;109,749;119,020
430461;Canudos do Vale;1,169;645;524
430462;Capão Bonito do Sul;1,469;774;695
430463;Capão da Canoa;30,939;15,044;15,895
430465;Capão do Cipó;2,143;1,129;1,014
430466;Capão do Leão;16,671;8,176;8,495
430467;Capivari do Sul;2,848;1,441;1,407
430468;Capela de Santana;8,107;4,072;4,035
430469;Capitão;2,045;1,074;971
430470;Carazinho;41,483;19,706;21,777
430471;Caraá;5,061;2,671;2,390
430480;Carlos Barbosa;20,330;10,128;10,202
430485;Carlos Gomes;1,037;539;498
430490;Casca;6,295;3,254;3,041
430495;Caseiros;2,163;1,071;1,092
430500;Catuípe;6,119;3,039;3,080
430510;Caxias do Sul;325,043;159,883;165,160
430511;Centenário;2,082;1,111;971
430512;Cerrito;4,061;2,068;1,993
430513;Cerro Branco;2,976;1,508;1,468
430515;Cerro Grande;1,602;766;836
430517;Cerro Grande do Sul;6,811;3,550;3,261
430520;Cerro Largo;9,564;4,921;4,643
430530;Chapada;6,702;3,325;3,377
430535;Charqueadas;26,105;15,742;10,363
430537;Charrua;1,830;929;901
430540;Chiapeta;2,731;1,349;1,382
430543;Chuí;3,794;1,838;1,956
430544;Chuvisca;3,286;1,751;1,535
430545;Cidreira;8,900;4,376;4,524
430550;Ciríaco;3,190;1,657;1,533
430558;Colinas;1,947;995;952
430560;Colorado;2,327;1,095;1,232
430570;Condor;4,318;2,104;2,214
430580;Constantina;6,710;3,271;3,439
430583;Coqueiro Baixo;912;466;446
430585;Coqueiros do Sul;1,592;826;766
430587;Coronel Barros;1,841;894;947
430590;Coronel Bicaco;4,647;2,256;2,391
430593;Coronel Pilar;1,049;536;513
430595;Cotiporã;2,752;1,488;1,264
430597;Coxilha;1,973;946;1,027
430600;Crissiumal;9,278;4,595;4,683
430605;Cristal;4,955;2,541;2,414
430607;Cristal do Sul;1,791;892;899
430610;Cruz Alta;40,732;19,049;21,683
430613;Cruzaltense;1,323;661;662
430620;Cruzeiro do Sul;8,886;4,528;4,358
430630;David Canabarro;3,134;1,645;1,489
430632;Derrubadas;1,919;981;938
430635;Dezesseis de Novembro;1,757;848;909
430637;Dilermando de Aguiar;1,878;982;896
430640;Dois Irmãos;21,753;10,743;11,010
430642;Dois Irmãos das Missões;1,315;676;639
430645;Dois Lajeados;2,304;1,157;1,147
430650;Dom Feliciano;9,388;4,889;4,499
430655;Dom Pedro de Alcântara;1,864;979;885
430660;Dom Pedrito;25,314;12,600;12,714
430670;Dona Francisca;2,214;1,102;1,112
430673;Doutor Maurício Cardoso;3,378;1,705;1,673
430675;Doutor Ricardo;1,360;768;592
430676;Eldorado do Sul;24,513;11,988;12,525
430680;Encantado;15,087;7,368;7,719
430690;Encruzilhada do Sul;15,758;7,949;7,809
430692;Engenho Velho;911;431;480
430693;Entre-Ijuís;6,123;3,009;3,114
430695;Entre Rios do Sul;1,892;930;962
430697;Erebango;2,008;1,027;981
430700;Erechim;70,523;34,088;36,435
430705;Ernestina;2,056;1,061;995
430710;Herval;4,132;2,099;2,033
430720;Erval Grande;3,356;1,738;1,618
430730;Erval Seco;4,857;2,423;2,434
430740;Esmeralda;2,126;1,048;1,078
430745;Esperança do Sul;2,121;1,100;1,021
430750;Espumoso;10,504;5,172;5,332
430755;Estação;4,107;2,022;2,085
430760;Estância Velha;32,114;16,072;16,042
430770;Esteio;54,843;26,415;28,428
430780;Estrela;22,498;11,304;11,194
430781;Estrela Velha;2,416;1,249;1,167
430783;Eugênio de Castro;1,842;932;910
430786;Fagundes Varela;1,821;934;887
430790;Farroupilha;47,963;23,655;24,308
430800;Faxinal do Soturno;4,427;2,171;2,256
430805;Faxinalzinho;1,710;867;843
430807;Fazenda Vilanova;2,765;1,388;1,377
430810;Feliz;9,493;4,808;4,685
430820;Flores da Cunha;20,626;10,379;10,247
430825;Floriano Peixoto;1,246;711;535
430830;Fontoura Xavier;6,903;3,584;3,319
430840;Formigueiro;4,615;2,364;2,251
